TeamId,Team,Venue,Season,FetchedAt
77,Angers,Stade Raymond-Kopa,2024,2026-05-30T02:32:56+00:00
79,Lille,Decathlon Arena - Stade Pierre-Mauroy,2024,2026-05-30T02:32:56+00:00
80,Lyon,Groupama Stadium,2024,2026-05-30T02:32:56+00:00
81,Marseille,Stade Orange Vélodrome,2024,2026-05-30T02:32:56+00:00
82,Montpellier,Stade de la Mosson-Mondial 98,2024,2026-05-30T02:32:56+00:00
83,Nantes,Stade de la Beaujoire - Louis Fonteneau,2024,2026-05-30T02:32:56+00:00
84,Nice,Allianz Riviera,2024,2026-05-30T02:32:56+00:00
85,Paris Saint Germain,Parc des Princes,2024,2026-05-30T02:32:56+00:00
91,Monaco,Stade Louis-II,2024,2026-05-30T02:32:56+00:00
93,Reims,Stade Auguste-Delaune,2024,2026-05-30T02:32:56+00:00
94,Rennes,Roazhon Park,2024,2026-05-30T02:32:56+00:00
95,Strasbourg,Stade de la Meinau,2024,2026-05-30T02:32:56+00:00
96,Toulouse,Stadium de Toulouse,2024,2026-05-30T02:32:56+00:00
106,Brest,Stade Francis-Le Blé,2024,2026-05-30T02:32:56+00:00
108,Auxerre,Stade de l'Abbé Deschamps,2024,2026-05-30T02:32:56+00:00
111,Le Havre,Stade Océane,2024,2026-05-30T02:32:56+00:00
112,Metz,Stade Saint-Symphorien,2024,2026-05-30T02:32:56+00:00
116,Lens,Stade Bollaert-Delelis,2024,2026-05-30T02:32:56+00:00
1063,Saint Etienne,Stade Geoffroy-Guichard,2024,2026-05-30T02:32:56+00:00
