Team,MatchDate,RollingXGFor_L5,RollingXGA_L5,RollingXGDiff_L5,RollingShots_L5,RollingSOT_L5
Angers,2025-05-10,,,,,
Auxerre,2025-05-04,,,,,
Auxerre,2025-05-10,0.24,1.54,-1.3,4.0,1.0
Brest,2025-05-04,,,,,
Brest,2025-05-10,1.1,0.56,0.54,16.0,5.0
Le Havre,2025-05-04,,,,,
Lens,2025-05-04,,,,,
Lens,2025-05-10,0.73,1.04,-0.31000000000000005,8.0,3.0
Lille,2025-05-04,,,,,
Lille,2025-05-10,0.46,1.32,-0.8600000000000001,5.0,1.0
Lyon,2025-05-04,,,,,
Lyon,2025-05-10,1.04,0.73,0.31000000000000005,18.0,4.0
Marseille,2025-05-04,,,,,
Monaco,2025-05-10,,,,,
Montpellier,2025-05-04,,,,,
Montpellier,2025-05-10,0.56,1.1,-0.54,6.0,1.0
Nantes,2025-05-10,,,,,
Nice,2025-05-10,,,,,
Paris Saint Germain,2025-05-10,,,,,
Reims,2025-05-10,,,,,
Rennes,2025-05-10,,,,,
Saint Etienne,2025-05-10,,,,,
Strasbourg,2025-05-10,,,,,
Toulouse,2025-05-10,,,,,
